Strategy,Cost,Effect,Inc_Cost,Inc_Effect,ICER,Status
MenC,2670.139060542352,4283.980661763049,NA,NA,NA,ND
MenACWY,5316.6167802456985,4283.999855548187,2646.4777197033463,0.019193785137758823,137882.0123654028,ND
MenABCWY,7082.760068830038,4284.00666510507,1766.1432885843396,0.006809556883126788,259362.44000848528,ND
MenACWY_MenB,20942.786290283464,4284.010703467485,13860.026221453427,0.004038362414576113,3432090.7334683198,ND
