Strategy,Cost,QALYs
MenC,2670.139060542352,4283.980661763049
MenACWY,5316.6167802456985,4283.999855548187
MenACWY_MenB,20942.786290283464,4284.010703467485
MenABCWY,7082.760068830038,4284.00666510507
